date | value
2011-01-03 | +3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-15 | 4
2012-01-20 | +1000
2026-03-31 | 1
2012-09-01 | 1
2012-09-02 | 1
2024-02-29 | 1
2011-01-03 | 2.
2019-05-03 | 12.00
2019-05-03 | 999.9999999999999
9999-12-31 | 1
2011-01-03 | 2.
2012-01-11 | 1
2012-01-11 |-1
2024-02-30 | 1
2023-02-29 | 1
2001-42-42 | 23
2012-01-11 | 2147483648

|
2012-01-12 |
2012-01-13 | .
2012-01-14 | +
2012-01-16 | ++5
2012-01-17 | -6
2012-01-18 | 7..2
2012-13-19 | 9.2
2012-12-32 | 9.2
2012-01-21 | 1001
2023-02-29 || 1
2012-01-18 | 72.2.
2012-01-18 |  7.2
2012 -01-18 |  7.2
2012-01 -18 | 7.2
2012-01-1 8 | 7.2
2012-01- 18 | 7.2
2012 -01-18 | 7.2
2011-01-03  | 2
2011-01-03 | 2 
2011-01-03 | .3
201a-01-03 | 3
2013-01-03 | 3  a
2013-01y03 | 3
2019-05-03 | 1k
2019-05-03 | 1000.00000001
2009-01-01 | 300
2012-01-18 | 7+.2
2012-01-18 | 7.2+
2011-01-03 | .7
